mik,dic,net,race,sex,arr,rep
0,3,4,drace,fem,sep,tws1.1
2,1,1,drace,mle,sep,tws1.1
9,0,0,mrace,fem,sep,tws1.1
7,0,2,mrace,mle,sep,tws1.1
1,4,0,drace,fem,sep,tws1.2
0,4,5,drace,mle,sep,tws1.2
5,0,3,mrace,fem,sep,tws1.2
7,0,2,mrace,mle,sep,tws1.2
1,7,1,drace,fem,sep,tws2.1
0,6,0,drace,mle,sep,tws2.1
9,0,0,mrace,fem,sep,tws2.1
8,0,1,mrace,mle,sep,tws2.1
0,7,0,drace,fem,sep,tws2.2
0,8,0,drace,mle,sep,tws2.2
9,0,3,mrace,fem,sep,tws2.2
7,0,0,mrace,mle,sep,tws2.2
0,8,0,drace,fem,sep,tws3.1
0,8,1,drace,mle,sep,tws3.1
8,0,1,mrace,fem,sep,tws3.1
9,0,0,mrace,mle,sep,tws3.1
0,8,0,drace,fem,sep,tws3.2
0,7,0,drace,mle,sep,tws3.2
10,0,0,mrace,fem,sep,tws3.2
4,0,2,mrace,mle,sep,tws3.2
0,8,0,drace,fem,sep,tws4.1
0,6,0,drace,mle,sep,tws4.1
9,0,0,mrace,fem,sep,tws4.1
4,0,0,mrace,mle,sep,tws4.1
0,9,0,drace,fem,sep,tws4.2
0,8,0,drace,mle,sep,tws4.2
10,0,0,mrace,fem,sep,tws4.2
5,0,3,mrace,mle,sep,tws4.2
0,7,0,drace,fem,sep,tws5.1
0,8,0,drace,mle,sep,tws5.1
10,0,1,mrace,fem,sep,tws5.1
6,1,2,mrace,mle,sep,tws5.1
0,6,0,drace,fem,sep,tws5.2
0,7,0,drace,mle,sep,tws5.2
6,0,0,mrace,fem,sep,tws5.2
5,0,1,mrace,mle,sep,tws5.2
0,6,0,drace,fem,sep,tws6.1
0,7,1,drace,mle,sep,tws6.1
6,0,0,mrace,fem,sep,tws6.1
5,0,0,mrace,mle,sep,tws6.1
0,7,0,drace,fem,sep,tws6.2
0,5,0,drace,mle,sep,tws6.2
9,0,1,mrace,fem,sep,tws6.2
9,0,0,mrace,mle,sep,tws6.2
1,8,0,drace,fem,check,twc1.1
0,8,0,drace,mle,check,twc1.1
6,0,1,mrace,fem,check,twc1.1
7,0,3,mrace,mle,check,twc1.1
0,7,0,drace,fem,check,twc1.2
0,10,0,drace,mle,check,twc1.2
8,1,2,mrace,fem,check,twc1.2
6,0,2,mrace,mle,check,twc1.2
0,8,1,drace,fem,check,twc2.1
0,11,0,drace,mle,check,twc2.1
7,1,3,mrace,fem,check,twc2.1
3,0,1,mrace,mle,check,twc2.1
0,3,0,drace,fem,check,twc2.2
0,9,0,drace,mle,check,twc2.2
6,0,3,mrace,fem,check,twc2.2
5,1,1,mrace,mle,check,twc2.2
0,5,2,drace,fem,check,twc3.1
0,11,0,drace,mle,check,twc3.1
5,2,2,mrace,fem,check,twc3.1
5,0,1,mrace,mle,check,twc3.1
0,5,1,drace,fem,check,twc3.2
0,6,0,drace,mle,check,twc3.2
5,0,0,mrace,fem,check,twc3.2
4,0,2,mrace,mle,check,twc3.2
0,3,0,drace,fem,check,twc4.1
1,5,0,drace,mle,check,twc4.1
5,0,0,mrace,fem,check,twc4.1
2,0,0,mrace,mle,check,twc4.1
0,4,0,drace,fem,check,twc4.2
2,4,3,drace,mle,check,twc4.2
3,0,1,mrace,fem,check,twc4.2
3,0,0,mrace,mle,check,twc4.2
0,4,0,drace,fem,check,twc5.1
0,4,0,drace,mle,check,twc5.1
5,0,0,mrace,fem,check,twc5.1
3,0,0,mrace,mle,check,twc5.1
0,5,0,drace,fem,check,twc5.2
0,5,0,drace,mle,check,twc5.2
2,0,2,mrace,fem,check,twc5.2
2,1,1,mrace,mle,check,twc5.2
0,3,0,drace,fem,check,twc6.1
0,5,0,drace,mle,check,twc6.1
2,0,0,mrace,fem,check,twc6.1
0,0,0,mrace,mle,check,twc6.1
0,4,0,drace,fem,check,twc6.2
0,7,0,drace,mle,check,twc6.2
5,0,0,mrace,fem,check,twc6.2
2,0,1,mrace,mle,check,twc6.2
